Tanggal,Tn,Tx,Tavg,kelembaban,curah_hujan,matahari,kecepatan_angin,kecepatan_angin,,
06-08-2015,22,33,27.5,71,0,8,2,50,,
07-08-2015,20,32.5,26.4,82,0,8,2,46,,
08-08-2015,23,35,27.5,75,0,6.4,2,49,,
09-08-2015,22,35,27.5,75,0,1,3,323,,
12-08-2015,22,33.4,28,73,0,1,3,295,,
13-08-2015,22,33.8,28,73,0,10.5,3,186,,
14-08-2015,21,33,27.2,77,0,6.3,2,104,,
15-08-2015,21,32.5,26.9,80,0,10.5,2,300,,
16-08-2015,21,32.2,28.3,72,0,2.5,2,87,,
17-08-2015,21,33.3,27.3,77,0,9.6,2,310,,
18-08-2015,22,31.2,28.2,68,0,10,3,157,,
19-08-2015,22,33.3,27.9,65,0,10,2,27,,
20-08-2015,22,32.3,27.3,71,0,10.3,2,160,,
21-08-2015,22,31.8,26.8,78,0,1,3,131,,
22-08-2015,21,31.2,26.4,82,0,3.8,2,216,,
23-08-2015,20,30.6,27.5,75,8.5,3.5,1,60,,
24-08-2015,21,32.4,26.2,87,0,1,1,199,,
25-08-2015,22,31.4,27.5,75,0,4.8,2,92,,
26-08-2015,21,31.8,27.5,75,0,1,3,161,,
27-08-2015,22,32.2,27,85,0.7,5.5,2,50,,
28-08-2015,22,33,27.9,80,0.3,6.4,3,52,,
30-08-2015,22,32.8,27.2,82,0,1,3,182,,
31-08-2015,23,35,26.8,86,0,7,2,150,,
01-09-2015,22,32.1,27.1,84,0,1,3,48,,
02-09-2015,22,33.4,27.9,66,0,8.3,2,150,,
03-09-2015,21,32.5,27.2,79,0,1,4,40,,
04-09-2015,22,33.1,27.4,77,0,11,2,127,,
05-09-2015,23,31.8,27,90,6.9,1,2,50,,
06-09-2015,22,30.3,25.9,87,0.1,1.5,2,50,,
08-09-2015,21,32.6,27.6,76,0,7,2,65,,
09-09-2015,23,32.8,27.7,76,0,9.4,2,181,,
10-09-2015,22,33.3,27.7,83,0,1,3,12,,
11-09-2015,23,34.2,28.3,74,0,4.8,3,35,,
12-09-2015,21,32.7,27.7,72,0,9,2,45,,
13-09-2015,22,33.4,29.2,69,0,6.5,2,59,,
14-09-2015,22,33.4,28.9,69,0,7.3,2,51,,
15-09-2015,22,32.2,27.4,84,0,7.5,3,52,,
16-09-2015,23,32,27.7,80,0,4.2,3,23,,
17-09-2015,20,29.4,25.3,95,1.7,1.6,2,50,,
18-09-2015,20,33.1,26.6,83,3.7,1,1,67,,
19-09-2015,22,32.6,28.5,79,0,7.9,4,60,,
20-09-2015,24,32.4,28.5,71,0,9.6,4,40,,
21-09-2015,21,34,27.4,71,0,9.9,4,64,,
22-09-2015,22,34.2,29.2,63,0,1,3,150,,
23-09-2015,23,33.8,28.4,71,0,9,2,104,,
24-09-2015,22,32.8,28,75,0,7.6,2,140,,
25-09-2015,22,35.8,29.9,67,0,4.3,3,55,,
26-09-2015,22,34.4,28.6,62,0,8.4,2,296,,
27-09-2015,22,33,27.5,75,0,9.4,2,95,,
28-09-2015,22,33.2,28.3,70,0,8.6,2,165,,
