Tanggal,Tn,Tx,Tavg,kelembaban,curah_hujan,matahari,kecepatan_angin,kecepatan_angin,,
18-07-2016,21,31.6,26.3,89,0,3.3,2,282,,
19-07-2016,20,29.4,25.3,86,11.4,4.5,3,305,,
20-07-2016,20,30,25.4,90,3.6,1,2,290,,
21-07-2016,20,30.4,26.1,89,57,1.7,2,178,,
22-07-2016,20,31.6,26.8,82,0,5.8,3,300,,
23-07-2016,21,31.4,27.5,80,0,4.6,4,58,,
24-07-2016,21,29.8,26.4,90,8.3,4.8,3,180,,
25-07-2016,21,30.8,26.1,88,4,0.2,4,40,,
26-07-2016,20,35,26.1,86,39.2,5,2,160,,
27-07-2016,20,31.4,26.7,84,0,5.3,2,86,,
28-07-2016,20,30.8,26.4,85,0.5,5.8,2,180,,
29-07-2016,20,30.6,26.6,85,0,4.5,3,75,,
30-07-2016,21,32.4,24.9,94,1.9,4.5,2,50,,
31-07-2016,20,31.2,26.6,85,9.9,1,2,139,,
01-08-2016,20,30.6,27.1,83,0,1,3,60,,
02-08-2016,21,31.2,27.5,75,0,5.5,4,60,,
03-08-2016,21,31.2,27.3,83,0,5.4,5,52,,
04-08-2016,21,31.8,27.6,78,0,8,3,60,,
05-08-2016,22,31.8,27.4,85,1,6,2,180,,
06-08-2016,21,33.2,27.5,83,0.5,2,3,30,,
07-08-2016,21,29.4,24.4,94,6.3,6.3,2,320,,
08-08-2016,20,28.4,24.7,95,25.9,1,3,302,,
09-08-2016,21,29.1,26.3,83,1.2,0.3,3,301,,
10-08-2016,19,32.8,27.6,72,1.5,1,3,180,,
11-08-2016,21,32.8,27.9,73,0.5,9.5,3,96,,
12-08-2016,22,31.8,27.4,80,0,1,2,20,,
13-08-2016,21,31.2,27,85,0,6,3,40,,
14-08-2016,20,32.6,27.5,78,0,1,3,124,,
15-08-2016,21,33.4,27.6,83,0.2,9.9,3,285,,
16-08-2016,21,33.2,27.7,77,0,6.7,3,90,,
17-08-2016,22,30.4,26.8,86,0.8,2.8,2,320,,
18-08-2016,21,32,27.5,82,0,1,5,50,,
19-08-2016,21,32.6,27.8,79,0,5.1,4,50,,
20-08-2016,22,35.2,29.3,80,0,7,4,101,,
21-08-2016,21,32.9,27.8,78,0,6.7,2,80,,
22-08-2016,20,32,27.4,80,0,7,2,80,,
23-08-2016,22,32.5,27.9,80,0,4.7,3,320,,
24-08-2016,21,32.4,27.3,82,10,6.5,3,200,,
25-08-2016,22,33,28.2,77,0,9.5,3,295,,
26-08-2016,22,32.2,28,79,0,7.4,3,40,,
27-08-2016,20,31.2,27.3,84,1,2,3,160,,
28-08-2016,20,30.2,25.6,92,4.2,9.7,3,50,,
29-08-2016,21,30.8,26.6,83,2.4,4,4,70,,
30-08-2016,20,32.2,27.6,78,0,4.6,2,50,,
31-08-2016,20,32.8,26.7,85,1,10,2,180,,
01-09-2016,21,28.8,25.8,88,0,6.4,2,308,,
02-09-2016,20,31.4,26.9,80,0.7,1,3,290,,
03-09-2016,20,31.8,27.6,78,0,5,4,79,,
04-09-2016,22,29.8,26.8,83,0,9.8,2,80,,
05-09-2016,21,29.5,25.8,91,7,0.3,2,170,,
06-09-2016,22,32,27.6,81,0.7,2,3,190,,
07-09-2016,22,31.4,26.8,85,0.9,7.8,4,60,,
08-09-2016,20,31,25.7,93,6.6,4.5,2,100,,
09-09-2016,20,31,27.2,85,3.1,1,2,180,,
10-09-2016,19,32,27.6,82,0,5.3,3,70,,
11-09-2016,24,30,26.3,86,0.8,9.6,3,70,,
12-09-2016,24,31.6,26.6,86,4.5,1,3,100,,
13-09-2016,24,30,26,93,16.6,1,2,80,,
14-09-2016,23,32,27.3,85,1,2.8,3,70,,
15-09-2016,24,30,26.2,91,2.7,1,3,60,,
16-09-2016,23,30.3,26.3,90,0.2,0.9,3,249,,
17-09-2016,24,31.7,27,83,9.9,0.7,3,60,,
18-09-2016,24,31.9,27.7,80,0,8.8,4,70,,
19-09-2016,24,32.6,28,83,0,8.2,3,80,,
20-09-2016,24,31.3,26.8,93,3.9,8.4,2,300,,
21-09-2016,24,30.2,26,91,0,4.3,2,330,,
22-09-2016,24,32.6,28,80,3.7,1.8,3,50,,
23-09-2016,24,30.3,26.7,86,0,9.6,2,150,,
24-09-2016,23,30.2,26.4,89,0,1.4,2,150,,
25-09-2016,24,32.6,28.1,80,0,0.7,3,50,,
26-09-2016,23,32.3,28,81,26.9,7.2,3,70,,
27-09-2016,24,31.8,27.2,80,0,9,4,80,,
28-09-2016,24,31.4,27.2,86,0,2,3,210,,
29-09-2016,23,32.2,27.4,82,0,7.7,2,121,,
30-09-2016,23,31.6,27.1,87,4.4,6.3,2,90,,
01-10-2016,23,29.2,25.7,93,0.1,5.5,2,50,,
02-10-2016,24,31.6,26.8,85,3.6,0.3,3,199,,
03-10-2016,23,31.8,27.1,81,0,7,2,300,,
04-10-2016,23,32,27.3,80,0,2.5,3,170,,
05-10-2016,24,31.6,27,81,0,3.3,4,60,,
06-10-2016,24,30.2,26.6,86,0,7.4,2,280,,
07-10-2016,22,32,26.9,82,8.2,1.2,2,100,,
08-10-2016,24,32.4,27.4,83,0,6.9,4,40,,
09-10-2016,24,31.5,26.7,88,3,4.6,3,183,,
10-10-2016,24,31.4,27.7,86,14,2.5,4,44,,
11-10-2016,24,30.9,26.3,90,0,1,3,50,,
12-10-2016,23,30.4,26.7,85,0,1.2,2,100,,
13-10-2016,24,31.8,27.6,82,0,0.6,3,303,,
14-10-2016,23,31.2,26.8,86,2.4,3.3,2,70,,
15-10-2016,24,32.4,28.2,85,2,2.1,2,144,,
16-10-2016,25,32.5,27.6,85,0,7.6,3,130,,
17-10-2016,25,29.2,26.1,91,7,8.2,2,180,,
18-10-2016,25,32.5,27.8,85,0.7,1,3,80,,
19-10-2016,23,27,24.6,93,37.5,5.5,3,300,,
20-10-2016,23,29.4,26.6,84,6,1,5,80,,
21-10-2016,23,32,27.8,80,0.6,2.4,3,80,,
22-10-2016,23,30.5,25.9,88,0,9.2,2,310,,
23-10-2016,24,30.1,26.2,86,2.5,0.9,3,80,,
24-10-2016,20,31.5,27.1,85,5,1.8,4,50,,
25-10-2016,24,31.1,26.9,91,1.1,4.9,3,70,,
26-10-2016,23,31.8,27.7,84,18,2.8,4,70,,
27-10-2016,24,31.2,26.3,90,4,9.3,2,100,,
28-10-2016,23,30,26.3,90,10.8,1.9,2,240,,
29-10-2016,23,30.7,26.7,90,5.7,0.6,3,240,,
30-10-2016,24,30.5,26.6,89,7,2.1,5,290,,
31-10-2016,23,31.4,28,83,0,1.8,3,80,,
01-11-2016,23,32,27.6,86,0,4.5,4,90,,
02-11-2016,24,34.2,27.8,81,0,6,3,60,,
03-11-2016,25,28.6,26.5,86,0,3.2,3,100,,
04-11-2016,23,32.2,27.6,83,7.2,1,2,300,,
05-11-2016,23,32.4,27.5,74,0,4,3,320,,
06-11-2016,23,32.5,28.8,75,0,4.5,4,80,,
07-11-2016,24,31.2,27.7,81,0,9,3,40,,
08-11-2016,25,32.6,28.2,80,0.5,1.5,4,70,,
09-11-2016,25,31.7,27.8,82,0,8.2,3,70,,
10-11-2016,24,32.2,28.4,75,0,1,3,280,,
11-11-2016,24,26.8,24.6,93,1.2,8.8,3,50,,
12-11-2016,22,31.7,27.1,80,0,1,3,70,,
13-11-2016,24,32,27.5,85,0,7.8,4,70,,
14-11-2016,24,30.8,27.4,86,0,6.2,3,60,,
15-11-2016,24,32.2,27.9,81,0,1,4,60,,
16-11-2016,24,31.7,25.7,92,0,1.4,2,70,,
17-11-2016,23,31.8,26.3,86,32.2,2.8,3,340,,
18-11-2016,24,31.8,27.2,81,2.7,7,4,70,,
19-11-2016,24,31.2,26.3,91,2.5,3.7,2,40,,
20-11-2016,24,30.7,26.5,90,24,0.2,3,60,,
21-11-2016,24,31.3,27,91,7.9,4.5,3,40,,
22-11-2016,23,32,27.8,82,1.5,1.1,3,90,,
23-11-2016,25,31.8,27.8,86,0,9.5,4,50,,
24-11-2016,23,30.8,27.2,86,0,8.1,2,110,,
25-11-2016,24,28.8,26.5,92,1,0.7,3,70,,
26-11-2016,24,31.6,27.5,75,1.5,1,3,100,,
27-11-2016,24,31.4,26.9,87,112.3,4.5,4,70,,
28-11-2016,20,31.2,27.7,85,0,7.1,3,80,,
29-11-2016,23,30.9,27.2,85,0,8.3,4,90,,
30-11-2016,25,31,27.3,85,0,1,5,90,,
01-12-2016,24,31.4,26.8,85,0,1,4,70,,
02-12-2016,24,30.8,27.1,88,0,4.5,3,320,,
03-12-2016,24,31.4,27.5,82,0,1.1,3,40,,
04-12-2016,25,31.4,27.5,87,0,8.7,5,70,,
05-12-2016,24,35,26.7,83,2.6,2.1,4,80,,
06-12-2016,24,29,26,94,6.2,1.2,3,100,,
07-12-2016,24,30.8,26.6,88,21.3,1,3,70,,
08-12-2016,20,31.4,27.8,80,0,0.1,3,60,,
09-12-2016,24,29.2,25.7,91,1.4,1,2,310,,
10-12-2016,20,31.6,26.9,85,2.5,1,2,100,,
11-12-2016,23,31.8,27.5,83,0,5.3,2,160,,
12-12-2016,24,32.8,27.5,83,0,4.6,4,60,,
13-12-2016,24,31.8,26.8,87,0,7,3,70,,
14-12-2016,24,29.6,26.3,88,7.2,4.8,2,300,,
15-12-2016,23,31.8,27.2,83,1.2,1,3,60,,
16-12-2016,24,35,26.1,86,0,1,3,40,,
17-12-2016,23,31.4,26.8,86,0.7,1,3,90,,
18-12-2016,24,30.8,26.8,89,0,5,2,70,,
19-12-2016,20,30.6,27,88,1.5,0.1,4,100,,
20-12-2016,24,32.2,27.1,86,0,1,2,100,,
21-12-2016,24,31.4,27.3,81,7,4.8,4,100,,
22-12-2016,24,32.2,28,80,0,7.4,4,60,,
23-12-2016,24,35,27.9,82,1,7.4,5,190,,
24-12-2016,24,33,28,82,0,0.4,4,60,,
25-12-2016,24,28.6,26.1,93,9.4,5.6,2,80,,
26-12-2016,23,32,27.5,82,12.6,1,3,50,,
27-12-2016,24,30,26.9,88,0,5.3,3,300,,
28-12-2016,24,31.8,27.6,80,0,3.1,3,100,,
29-12-2016,24,30.2,26.1,92,5.2,6,4,40,,
30-12-2016,23,31.6,26.5,88,15.8,1,2,200,,
31-12-2016,24,30.6,26.3,91,9.3,4.8,2,180,,
01-01-2017,23,31,26.4,91,0.5,1,3,90,,
02-01-2017,24,31.4,25.8,90,0.9,3.3,4,80,,
03-01-2017,23,35,26.5,90,13.3,3,2,60,,
04-01-2017,23,31,27,87,3.6,4.8,3,80,,
05-01-2017,24,31.2,27.9,86,0,5.3,3,70,,
06-01-2017,24,31.2,27.3,88,1,3.8,3,80,,
07-01-2017,23,32,27.2,87,2,0.7,3,70,,
08-01-2017,25,31.2,27.4,89,2.4,2.9,2,150,,
09-01-2017,24,30.6,27,88,0,1,2,290,,
10-01-2017,24,31.6,27,88,0,0.3,3,50,,
11-01-2017,25,35,26.6,93,3.6,2,3,80,,
12-01-2017,23,32.4,27.6,84,0.5,1,2,130,,
13-01-2017,24,30.6,26.5,86,2,5.9,3,300,,
14-01-2017,23,32.2,26.6,87,1,1.3,3,140,,
15-01-2017,23,32.1,27.6,81,0.5,7,3,90,,
16-01-2017,25,29.4,25.9,88,0,6.8,2,70,,
17-01-2017,23,31.4,26.2,88,0,0.2,2,110,,
18-01-2017,24,31,26.3,90,1.3,6.5,3,310,,
19-01-2017,22,32.1,26.6,84,7.5,2.3,3,80,,
20-01-2017,24,35,27,81,0,8,4,30,,
21-01-2017,23,30,25.4,89,0,7.4,2,300,,
22-01-2017,20,31.6,26.8,85,17,2.9,3,70,,
23-01-2017,23,32.4,27.3,76,0,9.2,4,80,,
24-01-2017,23,31.6,27.4,81,0,1.1,2,310,,
25-01-2017,23,32,26.6,86,0,1,4,60,,
26-01-2017,23,31.2,27,88,5.4,4.4,3,40,,
27-01-2017,24,34,27.7,83,0,6.4,5,80,,
28-01-2017,24,30.6,26.5,89,7.2,4.8,4,60,,
29-01-2017,24,35,27,86,0,4.7,3,90,,
30-01-2017,24,27.8,26.1,93,8.8,4,2,60,,
31-01-2017,23,28.6,25.1,91,0,1,2,310,,
01-02-2017,23,31.6,26.6,83,9,0.3,3,70,,
02-02-2017,23,31,26.5,84,1,4.8,2,100,,
03-02-2017,24,35,27.2,86,1.2,4.8,3,170,,
04-02-2017,24,29,25.8,91,0.9,1,3,50,,
05-02-2017,24,31.4,26.7,86,0,1,2,50,,
06-02-2017,24,31.4,26.9,89,0,1.3,2,80,,
07-02-2017,23,35,26.7,90,2.7,4.5,2,70,,
08-02-2017,20,35,27.1,88,11.6,1,2,40,,
09-02-2017,24,35,26.7,85,0,2.8,4,50,,
10-02-2017,20,35,26.5,88,10.7,3.1,4,80,,
11-02-2017,23,30.6,25.9,88,5.5,3.1,4,70,,
12-02-2017,24,30.4,26.3,91,3.5,2.4,2,80,,
13-02-2017,24,30,26.2,90,2.2,1.6,3,80,,
14-02-2017,20,31.4,26.9,86,5,1.3,3,50,,
15-02-2017,25,31.8,27.2,85,0,5.5,3,50,,
16-02-2017,23,32.7,27.2,83,0,6,4,80,,
17-02-2017,23,35,26.6,88,21.1,7.4,3,100,,
18-02-2017,23,28.2,25,90,0,8.3,4,190,,
19-02-2017,21,35,26.4,84,31.5,0.9,2,80,,
20-02-2017,23,32.2,27.6,78,0,6.8,2,50,,
21-02-2017,23,35,26.8,84,2.5,7.3,3,70,,
22-02-2017,24,32,27.9,80,0,1,2,160,,
23-02-2017,23,31.1,26.5,89,6.2,6.3,3,70,,
24-02-2017,23,28.7,25.2,92,0.8,1,2,250,,
25-02-2017,22,31.5,26.3,87,2.5,1,3,80,,
26-02-2017,23,31.6,26.9,84,2,9,2,110,,
27-02-2017,23,32.2,27.4,82,0,1,3,100,,
28-02-2017,24,29.8,26,87,0,6.6,3,90,,
01-03-2017,22,35,26.3,83,10.3,0.3,3,80,,
02-03-2017,23,30.6,26.5,90,7.6,8.6,2,300,,
03-03-2017,20,31,26,92,4.5,1.2,1,130,,
04-03-2017,23,30.9,26.3,86,31,1,3,60,,
05-03-2017,24,31.4,27.1,87,0,2.4,2,110,,
06-03-2017,23,30.6,26.4,87,19.3,5.5,3,80,,
07-03-2017,24,28.6,25.7,94,7.7,2.1,2,60,,
08-03-2017,22,30.8,26.1,91,33.3,1,2,210,,
09-03-2017,23,31.3,27,87,3.7,3.3,3,70,,
10-03-2017,22,29.2,25.5,93,0.1,6.8,2,100,,
11-03-2017,23,28,25.2,94,25.8,1.2,2,180,,
12-03-2017,23,35,27.2,80,0.5,1,3,90,,
13-03-2017,23,30.8,26,88,2.5,6.2,3,200,,
14-03-2017,23,35,26.1,84,4.7,2.8,3,70,,
15-03-2017,23,35,25.4,89,17.9,1.5,1,170,,
16-03-2017,22,35,25.6,83,1,2.7,3,320,,
17-03-2017,23,31.2,26.5,81,0,1,2,50,,
18-03-2017,23,31,26.8,84,0,5.5,4,40,,
19-03-2017,22,32,27.2,78,0,5.6,2,110,,
20-03-2017,23,29.4,25.2,88,2.7,9.5,2,300,,
21-03-2017,22,31,26.7,80,11.4,1.8,4,60,,
22-03-2017,24,32,27.4,80,0,9.8,4,70,,
23-03-2017,20,31.4,27.1,84,0,8.8,4,70,,
24-03-2017,23,35,26.5,86,20.9,6.7,3,70,,
25-03-2017,23,30.8,26.2,87,0,1,4,300,,
26-03-2017,23,31,26.7,85,0,2,3,70,,
27-03-2017,23,31.4,26.4,87,0,1,2,40,,
28-03-2017,24,31,26.6,89,56.9,3.4,4,60,,
29-03-2017,23,31.1,27,87,1.5,2.9,2,50,,
30-03-2017,23,30.4,26,90,5,1.3,3,60,,
31-03-2017,22,31.6,26.4,86,27.2,0.6,3,80,,
01-04-2017,24,30.7,27.3,81,0,8.3,5,40,,
02-04-2017,24,30.4,26.6,91,5.5,4.5,1,310,,
03-04-2017,20,30.6,26.4,91,3.5,1,3,70,,
04-04-2017,24,35,26.5,89,2.5,3.2,4,90,,
05-04-2017,24,35,26.5,90,3.4,7,2,60,,
06-04-2017,23,35,26.4,89,1.4,0.2,2,70,,
07-04-2017,23,30.2,26.6,88,1.7,1,2,310,,
08-04-2017,20,30.8,26.2,88,1,0.5,2,110,,
09-04-2017,24,30.8,26.5,89,4,3,3,80,,
10-04-2017,24,30.4,26.3,93,4.1,1.2,2,260,,
11-04-2017,23,31,27.1,86,6.7,1.8,2,170,,
12-04-2017,24,32.3,27.2,88,0,3,3,70,,
13-04-2017,24,31.6,27.6,80,0,4.4,5,60,,
14-04-2017,24,29.4,26.2,91,22.7,9,2,300,,
15-04-2017,23,30.5,26.6,89,4.4,1,2,160,,
16-04-2017,22,30.6,26.5,90,1.5,6.4,4,80,,
17-04-2017,24,31.9,27.8,82,0,3.9,3,80,,
18-04-2017,23,31.8,27.2,84,6,7.3,3,60,,
19-04-2017,20,28.6,25.8,94,7.2,1,2,330,,
20-04-2017,23,31.2,26.5,88,1,1,3,60,,
21-04-2017,24,31.4,26.6,91,0,6,3,80,,
22-04-2017,23,31.6,27.3,86,4.5,2.3,3,40,,
23-04-2017,24,31.3,26.8,90,43,5.1,2,40,,
24-04-2017,23,31.2,27,87,29.8,5.1,3,70,,
25-04-2017,25,30.4,26.9,90,5.3,3.5,3,60,,
26-04-2017,24,29.8,26.3,91,9,3.5,2,300,,
27-04-2017,23,31.6,27,81,0,2.8,2,100,,
28-04-2017,23,31.4,27.3,84,0,8,2,60,,
29-04-2017,23,32.1,27,86,0,3.8,2,120,,
30-04-2017,24,31.8,27.3,84,0,9,3,80,,
01-05-2017,24,31.8,27.2,87,0,4,3,90,,
02-05-2017,24,31.6,26.9,87,0,4.2,3,80,,
03-05-2017,23,35,27.6,84,0,3.5,2,100,,
04-05-2017,24,32,27.5,82,0,7.2,4,70,,
05-05-2017,24,31,27,89,0.8,7.3,2,80,,
06-05-2017,24,31.6,26.5,90,3.1,2.3,3,310,,
07-05-2017,23,30.6,26.4,90,31,6.3,2,80,,
08-05-2017,23,31.6,28.1,81,0,2,2,70,,
09-05-2017,23,29.6,26.1,91,0,3.5,3,80,,
10-05-2017,23,30.4,26.4,89,1,0.7,2,90,,
11-05-2017,20,32.4,28,82,0.5,3,3,80,,
12-05-2017,23,33.2,27.4,83,0,7.3,2,170,,
13-05-2017,24,35,27.4,86,0,6.8,2,50,,
14-05-2017,23,32.1,27.1,88,0,1.9,4,70,,
15-05-2017,24,30.8,26.9,90,8,4,4,70,,
16-05-2017,20,30.4,27.2,87,0,1,3,70,,
17-05-2017,23,32.3,27.6,83,1.5,3.8,3,80,,
18-05-2017,23,32.8,27.9,89,2.5,6.8,4,80,,
19-05-2017,24,32.2,27.8,87,0,6,2,100,,
20-05-2017,24,35,27.7,88,2,5.3,2,200,,
21-05-2017,24,32,27.5,87,10.5,3.5,3,60,,
22-05-2017,24,32.1,27.9,88,1.9,5.3,2,200,,
23-05-2017,20,35,27.6,85,0,6,3,50,,
24-05-2017,24,32.4,28.4,80,0,2.5,3,90,,
25-05-2017,24,32.6,27.8,80,0,10,4,80,,
26-05-2017,20,31.7,27.5,88,7,8.3,3,80,,
27-05-2017,24,31.4,27,87,0,2.2,1,120,,
28-05-2017,23,32.8,28.1,84,1,4.2,3,60,,
29-05-2017,23,30.8,26.2,93,17.3,10,2,300,,
30-05-2017,23,32.4,27.3,88,0,0.5,2,80,,
31-05-2017,23,29.7,25.4,95,56.5,7,2,320,,
01-06-2017,22,32.1,27.3,86,0.8,0.2,2,210,,
02-06-2017,23,31,27.7,80,0,7.3,3,280,,
03-06-2017,20,32,27,86,40.5,4.3,3,80,,
04-06-2017,23,32.4,27.8,80,0,7.2,2,180,,
05-06-2017,24,35,26,92,5.5,1,2,80,,
06-06-2017,23,30.8,26.5,90,11.7,3,2,40,,
07-06-2017,20,31.6,27.2,85,0,1,2,70,,
08-06-2017,24,35,27.6,83,0,3.7,2,120,,
09-06-2017,24,32,27.5,85,0,3.5,3,80,,
10-06-2017,23,31.8,28,84,0,3.5,3,90,,
11-06-2017,20,32,27.4,79,0,8.4,3,100,,
12-06-2017,24,32.6,28.1,80,0,7.3,2,270,,
13-06-2017,24,29.2,25,94,3.8,6.3,2,270,,
14-06-2017,20,31.3,26,90,38.5,0.3,2,70,,
15-06-2017,23,35,26.8,86,0,3.3,1,100,,
16-06-2017,23,31,26.2,89,6.7,2.3,3,90,,
17-06-2017,23,30.9,25.9,90,7.3,2,3,310,,
18-06-2017,20,30,25.9,90,14.5,3.3,2,180,,
19-06-2017,22,31.7,27.1,87,8.6,1.7,2,80,,
20-06-2017,23,31.4,27.5,75,0,5.3,2,220,,
21-06-2017,23,30.4,26.1,91,6.5,5.7,2,310,,
22-06-2017,23,31.7,26.9,84,8.9,0.3,4,90,,
23-06-2017,23,32.1,27.8,77,0,5.3,2,160,,
24-06-2017,22,29.8,26,85,0,5.5,2,120,,
25-06-2017,23,30.3,26,89,2.5,1.5,4,40,,
26-06-2017,20,30.8,26.3,87,3,4.5,4,300,,
27-06-2017,22,31.2,26.2,85,0,1,3,60,,
28-06-2017,23,32.3,26.9,85,0,4,3,170,,
29-06-2017,23,31.3,26.5,84,0,5,3,222,,
30-06-2017,23,31.8,27.2,83,0,5.5,5,90,,
01-07-2017,23,29.4,25.1,93,0.4,7.7,2,280,,
02-07-2017,23,32.4,26.7,83,13.9,1,2,90,,
03-07-2017,22,31.2,26,89,1.9,7.4,3,100,,
04-07-2017,22,31.6,26.4,80,0,1,3,70,,
05-07-2017,24,31,26.3,88,1.7,7.5,2,210,,
06-07-2017,24,29.2,25.5,90,0,3,1,310,,
07-07-2017,20,30.9,26.9,77,0,1.5,3,290,,
08-07-2017,20,30.5,26.4,85,17.8,5.4,3,60,,
09-07-2017,24,31.8,27,80,0,2.2,2,300,,
10-07-2017,23,35,26.4,85,0,6.9,3,150,,
11-07-2017,22,31.4,26.6,87,0,7,3,50,,
12-07-2017,23,30.3,27,85,0,7,4,70,,
13-07-2017,23,31,27,89,6,1.8,2,190,,
14-07-2017,23,31.2,26.5,87,0.1,2.5,2,90,,
15-07-2017,20,30,25.8,91,0,7,3,310,,
16-07-2017,22,30.5,25.9,91,2.7,2.7,2,280,,
17-07-2017,25,31.9,27.1,85,6,1,2,170,,
18-07-2017,23,28.2,24.6,95,3,5.4,1,300,,
19-07-2017,22,32.1,26.5,88,18,1,2,100,,
20-07-2017,22,28.8,24.9,94,0.8,7.4,2,50,,
21-07-2017,22,27.6,25.1,90,3.5,0.5,1,290,,
22-07-2017,20,29.4,25.6,88,3,1,2,310,,
23-07-2017,22,30.2,26.1,87,1.2,0.1,2,100,,
24-07-2017,23,27.7,25.3,93,11,0.1,2,300,,
25-07-2017,22,29.2,25.7,86,0.6,1,3,280,,
26-07-2017,20,35,27.7,79,1.5,0.2,3,90,,
27-07-2017,24,32,27.8,82,0,9.5,3,80,,
28-07-2017,20,35,27.8,82,0,6.5,3,190,,
29-07-2017,20,30.3,25.9,90,34,4.5,2,40,,
30-07-2017,23,31.6,27,79,0.2,2.8,2,80,,
31-07-2017,20,30.4,26.3,90,1.2,5.4,2,110,,
01-08-2017,22,32.3,27.5,85,0,0.4,3,50,,
02-08-2017,25,30,27.1,90,0.7,8.1,2,70,,
03-08-2017,24,31.1,26.5,88,0.7,0.9,3,320,,
04-08-2017,22,32.4,26.6,86,44.5,3,4,320,,
05-08-2017,23,31.4,27.2,79,0,9.3,3,150,,
06-08-2017,24,31.1,25.9,87,0,7.5,2,300,,
07-08-2017,23,29.8,25.9,92,10,2,3,190,,
08-08-2017,23,32.3,27,83,9,1,4,200,,
09-08-2017,20,35,27.6,81,0,8.5,4,80,,
10-08-2017,23,31,26,91,9.7,6.7,2,300,,
11-08-2017,23,30.3,26,86,2.5,0.8,4,300,,
12-08-2017,24,30,25.3,90,8.9,1.7,2,310,,
13-08-2017,23,31.7,26.9,86,5.1,3.2,2,310,,
14-08-2017,23,32.3,26.7,84,4.5,6,3,320,,
15-08-2017,22,30.4,26,91,29.5,6.8,3,310,,
16-08-2017,22,30,25.6,89,14.9,0.8,3,310,,
17-08-2017,23,29.2,25,93,18.5,0.3,4,290,,
18-08-2017,22,31.6,26.8,85,15.3,1,1,90,,
19-08-2017,23,35,26.4,89,2.5,9.8,3,80,,
20-08-2017,23,30.5,26,91,15,3.2,2,310,,
21-08-2017,22,32.2,26.9,76,0.7,2.3,2,160,,
22-08-2017,23,31.3,26.4,85,3,8,3,190,,
23-08-2017,23,32.1,27.1,81,0,8.5,4,70,,
24-08-2017,23,32.1,27.6,78,0,9,3,160,,
25-08-2017,22,29.3,25.6,86,0.8,9.4,2,160,,
26-08-2017,22,31.2,26.2,89,0,1.3,3,320,,
27-08-2017,23,30.8,25.8,87,10,6,3,270,,
28-08-2017,23,30.4,26,87,9.4,5.7,3,120,,
29-08-2017,23,31.4,26.6,87,6,1,4,70,,
30-08-2017,22,32.2,27.8,83,0,6.8,3,200,,
31-08-2017,23,30.2,25.4,93,1,9.5,2,310,,
01-09-2017,23,32.2,27.6,81,0.5,0.3,3,100,,
02-09-2017,24,28.8,26.2,84,0,8.6,2,50,,
03-09-2017,23,31.6,26.9,88,3.1,0.7,2,160,,
04-09-2017,23,29.8,25.8,90,1,1,2,320,,
05-09-2017,24,32,26.9,88,9,0.4,3,50,,
06-09-2017,23,32.5,27.7,77,0,8.3,3,300,,
07-09-2017,23,31.8,27.4,85,0,6.5,5,310,,
08-09-2017,22,29.3,25.8,89,25.9,4.6,2,310,,
09-09-2017,22,33,27.8,79,0.8,0.4,2,70,,
10-09-2017,23,32.7,27.5,85,0,9.3,6,310,,
11-09-2017,23,32.5,27.1,85,18,6,4,80,,
12-09-2017,23,32.5,27.7,80,0.5,6.7,6,320,,
13-09-2017,23,31.5,26.9,86,1,9.5,5,100,,
14-09-2017,22,31.2,26.8,87,0,7.4,3,90,,
15-09-2017,23,29.2,25.4,93,69.1,2,2,320,,
16-09-2017,20,31.8,26.7,87,6.4,1,4,120,,
17-09-2017,24,30.7,27.2,82,0,8.6,3,110,,
18-09-2017,23,31.5,26.3,85,0,4,3,80,,
19-09-2017,23,31.2,26.6,86,1.8,3.5,3,50,,
20-09-2017,23,32.3,26.7,87,15.3,1.5,3,300,,
21-09-2017,23,31.4,27,85,0,1,3,70,,
22-09-2017,23,35,26.6,87,15,5,4,40,,
23-09-2017,22,32.2,27.5,77,0,6.3,3,70,,
24-09-2017,23,30.4,26,88,0,8.1,3,90,,
25-09-2017,23,29.2,25.7,91,24,5.5,2,70,,
26-09-2017,23,30.5,26.1,88,1.5,1.1,3,160,,
27-09-2017,23,29.6,27,84,0,2.4,3,70,,
28-09-2017,22,31.5,26.5,83,0,0.5,3,70,,
29-09-2017,20,35,25.7,92,17.3,5.1,2,190,,
30-09-2017,22,35,27,80,0.3,0.2,4,90,,
01-10-2017,23,32.4,27.5,77,0,9,4,190,,
02-10-2017,23,32.2,27.2,78,0,6.8,3,60,,
03-10-2017,23,31.6,26.8,88,0.5,1,2,210,,
04-10-2017,24,30.4,27.4,85,0,7.1,4,320,,
05-10-2017,23,28.8,24.6,93,60.1,0.3,2,300,,
06-10-2017,22,32.2,27.4,78,2,1,2,190,,
07-10-2017,23,32.3,27.4,78,0,8.7,5,90,,
08-10-2017,23,31.9,27.5,79,0.2,9.5,2,200,,
09-10-2017,23,29.2,25.8,88,1,3,2,310,,
10-10-2017,23,31.6,26.6,86,1.3,1,3,200,,
11-10-2017,24,32.2,27.4,87,0,4.5,4,150,,
12-10-2017,23,32.8,28.3,78,0,8.2,3,260,,
13-10-2017,20,31.6,26.1,86,0,9,6,300,,
14-10-2017,20,30,26,92,37.4,4.5,2,60,,
15-10-2017,23,31.2,26.7,87,0,0.5,4,310,,
16-10-2017,23,30.8,26.5,86,3,5.2,3,70,,
